rank,want,price,title,risk,seller,area,publish_date,url
1,23343,1,"LR手机版/iPad/电脑版 Lightroom手机版/电脑版iPad/手机Lr会员 【24小时自动发货】  • VIP功能：包含RAW格式处理、选择性调整、几何校正、AI智能标记等80+项高级功能  支持设备说明  • iOS正版授权：苹果设备直接安装使用，支持iPad与iPhone全系机型  • 安卓设备：提供安装包+详细教程，适配鸿蒙/安卓全系统  •Mac电脑：提供安装包+详细教程，适配苹果电脑全系统  •win电脑：提供安装包+详细教程，适配win全系统 注意：一单一个设备哦",🔴,上山打老虎冬天,广东,2025-03-11,https://www.goofish.com/item?id=897607229043
2,12061,9.90,"AI视频代做 代生成Ai动画、古诗词、各种场景故事动画生成， 24小时在线。 需提供:故事剧情或文案。 拍前先沟通，已经做了几百份了，质量放心！ 价格视视频时间长短而定。 感兴趣的点我想要和我交流吧",🟠,无名剑客剪辑,湖北,2025-06-17,https://www.goofish.com/item?id=941170969325
3,7627,5,"Ai矢量图制作，Ai勾线临摹，logo描图制作，稿图转矢量图 ，代画，衣服和不同材质上的图都可以画，矢量图无限放大都很清晰，字体变形，CDR  AI  Ps CAD dwg、ps、ai、pdf、jpg、plt、svg、eps、tiff、png等源文件格式皆可 根据图案复杂程度合理报价，基本上只要有图就...",🟠,喵了个猫,浙江,2025-05-21,https://www.goofish.com/item?id=927233829195
4,6997,6,"AI视频高效制作 AI视频制作！高质量！高效率！询价有优惠!!!  AI视频制作 Ai科普视频 Ai科普动画 AI视频制作 AIGC视频制作 AI动画 AI视频 全平台AI视频  熟练使用各大软件，力求高质量服务！ 服务类型： - 商业宣传 - 广告宣传 - 剧情 -小短片 -影视大片 -口播 -文旅宣传 - 动漫 - 卡通 - 动画 - 音乐短片 - 创意短片 等！都可制作！  全流程服务：从脚本到正片一步一步确认  您这边只需要明确需求： 1、脚本或者主题 2、视频时长 3、制作周期  明确需求我这边给您明确报价。 个人制作优势： 1、价格实在，可谈 2、沟通顺畅，真诚 3、质量有保障也看得见  风格制作不限！！！日漫、写实、古代、纪录片、国漫、皮克斯、3d渲染、写实、赛博朋克等，制作时长不限，服务企业上千家，丰富制作经验。 快点击“我想要”，进行咨询吧~",🟢,肝图ing,北京,2026-01-27,https://www.goofish.com/item?id=1015855259050
5,5013,5,"AI视频代制作质量好效率高ai视频制作 AIGC视频制作 Ai视频生成 高质量视频 AI视频制作 AI动画动漫 Ai广告  AI视频 全平台AI视频  制作范围 动漫，真人写实，剧情类，宣传片，企业宣传片，产品宣传，短微剧，片头，游戏CG片头，品牌宣传等还有各大比较热门的视频类型...",🟠,Ai制片人阿奇,福建,2025-10-26,https://www.goofish.com/item?id=990275804667
6,4267,5.80,"AI视频代定制生成 ✅ AI视频代定制｜动画代生成｜全类型视频代做 熟练运用即梦4.0、可灵2.1、veo3、pika等各大AIGC工具，高效出片、质感在线，性价比拉满，比传统制作更省钱、更省心✅  ✨ 可做类型：各类风格动画、企业宣传片、产品广告、短视频、A...",🟠,全能AI大咖,浙江,2026-02-10,https://www.goofish.com/item?id=1021832601948
7,3280,1,"【做视频】【什么都可以】要求尽管提！24小时在线接单！ai视 频制作、视频剪辑在线接单，会pr，AE、达芬奇等，今晚能出！！急单优先！！  个人接单7年，自己有一个小团队，本人专注做ai视频！剪辑制作！ae特效 ai视频！ai动画、ai特效 都能做！！！技术过硬，认真负责，  点击“聊一聊”回复 【在】即可，只需要回复 【在】就行了，别说违归词！！！ 擅长动画特效、mg动画、视频特效、粒子动画、AI生成视频、ai动画、ai广告、ai科普、ai教学 欢迎老板砸单！熟练使用AE，PR，AU，达芬奇等各种剪辑软件，啥都可以做，尽管说要求，有问必答！  点击“聊一聊”回复 【在】即可，只需要回复 【在】就行了，别说违归词！！！  平时做的活儿挺多元的：纪录片、企业的产品主图视频、宣传片、卡点快剪、，产品介绍、活动快剪、快闪那种也都能做，基本上你能想到的视频类型我这边都能弄。  承接全品类视频制作，包括但不限于：  1、平台视频：抖音、快手、视频号、B站主视频，含调色、短画质修复、字幕包装 2、动画制作：二维动画短片、LOGO演绎、产品功能演示、文字动画、数据图表动效、卡通形象 3、成片类：企业宣传片、产品介绍、活动记录（婚礼/年会/庆典）、课程与演讲剪辑、个人Vlog与旅行日常[hot][下][hot][VS][hot][下][红旗][下][hot][下][红旗][下][hot][下][hot][下][红旗][VS][红旗][VS][闪亮][VS][下][cool][下][cool][cool][下][cool][左][cool] 4、效果包装：合成、抠像、绿幕、动态图形、转场、文字标题、光影处理、片头片尾  最拿手的是AI视频、AE特效和影视混剪这块，磨皮抠图、旅游视频、[hot][下][hot][下][左][new][new][左][左][new][下][hot][hot][下][hot][下][hot][下][hot][下][hot][下][hot][上][hot][上][hot][上]信息流广告、画质修复这些都接。 抖音快手视频号的短视频也没问题  点击“聊一聊”回复 【在】即可，只需要回复 【在】就行了，别说违归词！！！",🟠,伦敦灵芝,江苏,2026-06-16,https://www.goofish.com/item?id=1059574165653
8,3022,4.69,"PS软件远程安装 远程安装ps/pr/ai/ae/lr/an/xd/br/id/dw/me/au/pdf软件 2026/2025/2024/2023/2022/2021/2020/2019/2018/2017  支持win和mac系统远程服务 标价为一个软件安装的费用  解决99%安装问题，解决各种报错，疑难杂症！  远程安装：一对一服务~不用排队~省事又省心~详请私聊！！！  远程安装包成功，不成功直接退款，包售后  1分钟以内回复❤️  特别声明：本店做的是远程指导服务和技术",🔴,LateSunday,浙江,2026-05-13,https://www.goofish.com/item?id=1049776111066
9,2812,1,"视频制作在线接单，视频剪辑，AI视频制作，会PR，Ae，代剪 代做，代做视频制作、视频剪辑接单，宣传片制作，24小时在线营业！价格根据要求难度而制定！[红圆][红圆][红圆]  类型： 视频剪辑，ae包装，短视频，动画制作，结婚生日相册，舞台背景，年会，微电影，宣传片，MV，卡点视频，游戏视频，加字幕、片头片尾，调色，音乐踩点，vlog  AI视频制作  等！ 各类视频均可制作！[绿圆][绿圆][绿圆]  价格： 根据成品时长、制作复杂程度而定。性价比高。预定交稿时间(准时交稿、不耽误客户时间) 也可帮助客户找素材、达到制作视频的要求! 你不想干的活，我来干[蓝圆] 你解决不了的活，我来解决[蓝圆]   出片速度： 一对一接单，认真负责，根据素材多少、复杂程度、可协商，最快一小时出片！可沟通多次修改！价格实惠、选我准没错![蓝圆]  定制视频服务说明： 我们为您提供一对一专属视频制作服务，所有作品均按您的需求定制，属于虚拟技术服务，不支持无理由退款。 为了保障您的权益，下单前请确认好所有需求细节；制作过程中我们会同步进度，交付初稿后可提供3次免费需求内修改服务，感谢理解。  8年专业剪辑师，有需要的快来联系我 欢迎点击“我想要”和我沟通具体细节吧！全天在线等候您!快快联系我哟！[比心][比心][比心]",🟠,映像剪辑,广东,2024-12-11,https://www.goofish.com/item?id=862690900731
10,2516,9.90,"2025年AI视频代做 代生成 高质量视频 AIGC视频代做 动画生成  AI视频代做 全平台AI视频代做（海螺、可灵、liblib.星流等） 点击我想要了解详情 ❗拍前需沟通！！！❗ ❗拍前需沟通！！！❗ ❗拍前需沟通！！！❗ 每个人需求不一样。沟通好才能出好品质！ 不会出图也没关系。有我们在，您...",🟠,Ai绘梦师,北京,2025-03-20,https://www.goofish.com/item?id=901442844863
