rank,want,price,title,risk,seller,area,publish_date,url
1,23347,1,"LR手机版/iPad/电脑版 Lightroom手机版/电脑版iPad/手机Lr会员 【24小时自动发货】  • VIP功能：包含RAW格式处理、选择性调整、几何校正、AI智能标记等80+项高级功能  支持设备说明  • iOS正版授权：苹果设备直接安装使用，支持iPad与iPhone全系机型  • 安卓设备：提供安装包+详细教程，适配鸿蒙/安卓全系统  •Mac电脑：提供安装包+详细教程，适配苹果电脑全系统  •win电脑：提供安装包+详细教程，适配win全系统 注意：一单一个设备哦",🔴,上山打老虎冬天,广东,2025-03-11,https://www.goofish.com/item?id=897607229043
2,4840,1.88,"Lightroom手机版/电脑版iPad/安卓/鸿蒙，还有1 0000+精美预设赠送  【24小时自动发货】  • VIP功能：包含RAW格式处理、选择性调整、几何校正、AI智能标记等80+项高级功能  支持设备说明  • iOS正版授权：苹果设备直接安装使用，支持iPad与iPh...",🟢,上山打老虎冬天,北京,2025-05-15,https://www.goofish.com/item?id=924389813673
3,2851,4.80,"斗地主ai记牌器，Ai提示，安卓斗地主记牌器，微乐jj途游边 锋天天斗地主等都支持！ ai提示记牌器功能介绍：吉吉助手 （1）支持经典模式3人斗地主，支持主流平台小程序APP或自建房支持安卓手机、安卓平板。 （2）AI提示出牌，记牌器通过百亿次模拟对战训练学习，通过起手牌分析是否叫地主或加倍，分析每家出过的牌结合自己手牌给出建议出牌提示，按提示出轻松游戏提高获胜几率。 （3）精准自动记牌，外面还剩什么牌是否有炸一目了然，包括上下家每家的出牌记录和剩余张数都能精准显示。 （4）[ai提示仅支持安卓手机经典斗地主模式] 需要跑得快或者苹果普通记牌器软件可浏览店铺其他款或者点我想要咨询哦！",🔴,斗地主ai记牌器智能记牌,河南,2025-04-22,https://www.goofish.com/item?id=915541020405
4,2019,1,"电商AI设计生图提示词全流程手册主图/详情页/海报/包装/创 意玩法全都有  --★24小时佰渡自动发货，即拍秒发★-- --★24小时佰渡自动发货，即拍秒发★-- --★24小时佰渡自动发货，即拍秒发★--  宝贝秒拍秒发，拍下即发全部素材！没有任何额外费用！  ✅内容超全！主图、详情页、海报、包装...",🟢,晓云素材,北京,2026-06-02,https://www.goofish.com/item?id=1054747331555
5,1706,1,"【做视频】【什么都可以】要求尽管提！24小时在线接单！ai视 频制  【做视频】【什么都可以】要求尽管提！24小时在线接单！ai视频制作、视频剪辑在线接单，会pr，AE、达芬奇等，今晚能出！！急单优先！！   点击“聊一聊”回复 【在】即可，只需要回复 【在】就行了，别说违禁词！！！  平时做的活儿挺多元的：纪录片、企业的产品主图视频、宣传片、卡点快剪、，产品介绍、活动快剪、快闪那种也都能做，基本上你能想到的视频类型我这边都能弄。  欢迎老板砸单！熟练使用AE，PR，AU，达芬奇等各种剪辑软件，啥都可以做，尽管说要求，有问必答！  擅长动画特效、mg动画、视频特效、粒子动画、AI生成视频、ai动画、ai广告、ai科普、ai教学 点击“聊一聊”回复 【在】即可，  只需要回复 【在】就行了，别说违禁词！！！  个人接单7年，自己有一个小团队，本人专注做ai视频！剪辑制作！ae特效 ai视频！ai动画、ai特效 都能做！！！技术过硬，认真负责，  承接全品类视频制作，包括但不限于：  1、平台视频：抖音、快手、视频号、B站主视频，含调色、短画质修复、字幕包装 2、动画制作：二维动画短片、LOGO演绎、产品功能演示、文字动画、数据图表动效、卡通形象 3、成片类：企业宣传片、产品介绍、活动记录（婚礼/年会/庆典）、课程与演讲剪辑、个人Vlog与旅行日常 4、效果包装：合成、抠像、绿幕、动态图形、转场、文字标题、光影处理、片头片尾   最拿手的是AI视频、AE特效和影视混剪这块，磨皮抠图、旅游视频、信息流广告、画质修复这些都接。 抖音快手视频号的短视频也没问题  有需求直接来聊～ 欢迎点击“聊一聊”，回复在，和我沟通！！！不要说任何违禁词！！～！！",🟠,巴黎撒花的荷叶,浙江,2026-06-15,https://www.goofish.com/item?id=1059394453775
6,1568,1,"炫图】炫图AI会员 帮p图 可帮做xuan图一切Vip权益效 果/Ai添加/Ai换装/Ai换背景/消除路人/增加功能…… 一张1r 不砍价 正常几分钟到半小时出图，多张多优惠！！  拍后发图沟通 拍前需知: 1.保护客户隐私，发完即删 2.虚拟产品不退货，请考虑清楚下单！ ...",🔴,巨型火龙果,浙江,2025-03-30,https://www.goofish.com/item?id=904387161787
7,1399,39,"DeepSeek本地部署软件开发 DeepSeek 本地部署 智能AI，欢迎随时来询！ Ollama外加各种DeepSeek模型  拍下宝贝后，通过 网易UU或者向日葵远程部署。  不懂随时问，都是亲自安装部署过的，流程非常熟悉  重点来了，部署不成功，不收费！  离线断网依然可运行！  这一套组合，非常厉害，前期安装简单迅速，后期可组建自己的知识库，训练自己的大模型，做到一个真正懂你的智能Ai！",🟠,喵喵喵喵喵喵_喵喵喵_,江苏,2025-02-09,https://www.goofish.com/item?id=885230518883
8,1223,1.88,"Kimi AI一键生成PPT无限次数教程 【Kimi技巧】网页/手机通用，解除剩余额度使用限制，教程简单，手机电脑操作即可，不用下载其他软件 1.KIMI智能助手网页版、手机版无限制次数使用。 2.可解决KIMI网站、agent、文档、PPT、表格、深度研究的剩余额度用完问题。 3...",🟢,vv个人闲置,安徽,2026-03-29,https://www.goofish.com/item?id=1038432149685
9,1152,1,"【自动发货】万兴喵影自用出租1天3天7天 自用的号闲置着，租给需要的朋友  一人一号，独享账号，更安全！  万兴喵影账号支持全平台使用，官方版本登陆账号密码使用，不支持国际版！  该号不包含第三方的视觉中国素材和ai点数积分  商品一经售出，恕不退换，不提供技术服务，小白慎拍，...",🔴,无忧无虑的草莓,广东,2025-06-11,https://www.goofish.com/item?id=938515644437
10,1077,19,"AI视频！AI各类短片制作！！ AI视觉创作服务：专业解决您的视频与图像需求   我们专注提供全维度AI视觉解决方案，覆盖视频、动画与图像全品类创作，高效攻克各类制作难点，具体服务如下：   - AI视频制作：支持品牌宣传、产品介绍、知识科普等多场景定制，可匹配写实、简约、科技等多元风格，满足不同传播需求。 - AI动画短预计工期1天内 - AI图片生成：可定制场景图、产品图、插画等各类视觉素材，支持风格化调整与细节优化，确保画面质感与需求高度匹配。   欢迎咨询！！",🟠,未来视界AI工场,广东,2025-09-19,https://www.goofish.com/item?id=978626141744
